	2
163.221.7.65	34
163.221.7.67	2
163.221.7.69	2
163.221.75.129	2
163.221.75.134	2
163.221.75.142	2
163.221.75.160	8
163.221.79.121	78
163.221.80.233	4
163.221.80.251	8
163.221.96.108	58
163.221.96.173	6
163.221.96.193	8
163.221.96.197	14
163.221.96.29	2
163.221.97.171	28
163.221.97.205	23
163.221.99.103	6
163.221.99.121	6
163.221.99.190	2
163.221.99.50	4
172.12.196.57	2
172.39.225.130	68
172.39.225.132	4
172.39.225.133	2
172.39.225.138	100
172.39.225.143	95
172.39.225.162	48
172.39.225.163	16
172.39.225.166	29
172.39.225.167	96
172.39.225.171	80
172.39.225.172	1244
172.39.228.100	12
172.39.228.101	136
172.39.228.106	46
172.39.228.111	30
172.39.228.80	124
172.39.228.84	6
172.39.228.87	16
172.39.228.91	4
172.39.228.92	36
172.39.228.93	16
172.39.228.96	78
172.39.228.97	58
172.39.229.66	25
172.39.229.67	2
172.39.229.69	10
172.39.229.75	60
172.39.229.76	4
172.39.230.19	28
172.39.230.209	8
172.39.230.21	31
172.39.230.211	2
172.39.230.212	28
172.39.230.217	28
172.39.230.218	25
172.39.230.219	32
172.39.230.222	16
172.39.230.225	2
172.39.230.227	10
172.39.230.228	46
172.39.230.234	142
172.39.230.236	70
172.39.230.27	2
172.39.230.28	6
172.39.230.36	24
172.39.230.37	40
172.39.230.38	144
172.39.230.46	70
172.39.231.81	86
172.39.231.84	30
172.39.231.88	16
172.39.231.89	2
172.39.231.92	10
172.39.244.228	2
172.39.48.17	18
172.39.48.20	148
172.39.48.26	94
172.39.48.27	25
172.39.48.28	24
172.39.49.144	38
172.39.49.146	2
172.39.49.148	42
172.39.49.155	10
172.39.49.175	39
172.39.49.179	122
172.39.49.181	3231
172.39.49.185	6
172.39.49.186	22
172.39.49.187	48
172.39.49.188	142
172.39.49.189	168
172.39.49.194	4
172.39.49.203	46
172.39.49.204	24
172.39.49.226	58
172.39.49.228	14
172.39.49.230	2
172.39.49.232	4
172.39.49.234	127
172.39.49.236	38
172.39.62.17	16
172.39.62.20	52
172.39.62.26	23
172.39.62.29	4
172.39.62.30	42
172.39.62.67	80
172.39.62.68	14
172.39.62.69	44
172.39.62.75	46
172.39.62.79	100
173.197.204.127	4
173.197.206.21	1079
173.197.206.7	2
173.197.38.33	4
173.67.102.90	2
175.122.199.58	2
175.225.15.36	18
175.225.18.172	6
175.232.215.123	166
180.110.91.173	2376
180.210.130.233	343
180.212.32.13	52
180.212.55.15	14
180.212.7.224	917
180.251.234.41	2
180.90.186.239	174
180.95.239.183	2
182.222.120.124	42
182.222.23.10	22
182.222.24.240	156
182.222.25.127	174
182.222.25.243	34
182.222.31.255	18
182.222.65.180	6
182.4.176.51	20
182.7.74.102	6
183.79.148.123	99
183.79.150.12	14
183.79.151.143	14
183.79.151.15	385
183.79.171.15	2
184.106.132.183	12
184.106.137.177	2
185.174.26.69	2
192.107.32.152	8
192.118.64.200	8
192.218.160.35	24
192.218.160.41	24
198.12.66.130	2
198.12.66.131	2
198.12.66.132	2
198.12.66.133	2
198.12.66.150	6
198.12.66.152	2
198.12.66.155	4
198.12.66.159	2
198.12.66.176	2
198.12.66.181	2
198.12.66.193	2
198.12.66.194	2
198.12.66.198	2
198.12.66.204	2
198.12.66.225	2
198.12.66.228	2
198.12.66.232	2
198.12.67.135	2
198.12.67.141	2
198.12.67.145	2
198.12.67.158	2
198.12.67.16	2
198.12.67.17	2
198.12.67.189	2
198.12.67.19	2
198.12.67.20	8
198.12.67.21	4
198.12.67.22	2
198.12.67.226	2
198.12.67.23	4
198.12.67.24	8
198.12.67.25	2
198.12.67.26	4
198.12.67.27	6
198.12.67.29	2
198.12.67.31	2
198.12.67.66	2
199.94.75.1	2
202.13.218.158	4
202.13.220.49	8
202.13.221.90	24
202.131.200.55	18
202.169.156.124	22
202.20.4.51	14
202.209.197.250	142
202.219.240.91	12
202.222.186.225	68
202.222.42.166	12
202.232.231.249	816
202.232.231.252	25
202.234.196.9	578
202.237.125.59	60
202.237.173.36	2
202.237.56.122	2
202.241.88.8	4
202.245.16.26	92
202.247.216.29	2
202.247.217.118	682
202.247.217.170	16
202.247.217.252	6
202.247.218.170	2
202.247.218.182	2
202.247.219.131	78
202.247.219.139	12
202.247.219.145	6
202.247.219.152	6
202.247.219.156	6
202.247.220.119	2
202.247.220.33	34
202.247.220.71	37
202.247.222.121	2
202.247.222.2	2
202.247.223.12	3356
202.247.223.135	2
202.247.223.228	28
202.247.223.239	24
202.247.223.252	92
202.247.223.254	101
202.247.223.60	142
202.247.223.77	34
202.247.223.90	2
202.248.194.101	2
202.248.219.192	12
202.248.219.218	419
202.248.219.244	68
202.248.241.101	2
202.248.245.131	88
202.248.245.138	8
202.248.250.114	2
202.248.250.130	2
202.248.250.148	2
202.248.250.149	2
202.248.250.177	2
202.248.250.182	2
202.248.250.197	2
202.248.250.37	14
202.248.250.87	2
202.25.165.74	52
202.62.249.142	6
202.62.51.98	1604
202.62.55.152	1205
203.227.95.226	84
203.247.102.143	13
203.247.102.177	4
203.247.102.193	435
203.247.102.70	6
203.247.107.193	8
203.247.107.195	14
203.247.125.25	8
203.63.143.139	316
203.66.192.144	6
203.66.192.150	72
203.66.192.39	58
203.66.193.135	4
203.66.193.147	2846
203.66.193.155	34
203.66.193.172	4
203.66.193.173	34
203.66.193.203	2
203.66.193.228	2
203.66.193.30	12
203.66.193.91	80
203.66.195.158	8
203.66.195.167	26280
203.66.195.168	8
203.66.195.171	224
203.66.195.191	77
203.66.197.27	116
203.66.197.4	4
203.66.197.41	112
203.66.197.54	116
203.66.197.7	28
203.66.198.202	24
203.66.198.203	91
203.66.198.229	46
203.66.198.232	22
203.66.198.233	103
203.66.198.234	40
203.66.199.204	4
203.66.200.1	2
203.66.200.10	4
203.66.200.35	24
203.66.200.7	2
203.66.200.9	4
203.66.201.145	2089
203.66.201.217	2
203.66.202.195	8
203.66.202.201	2
203.66.202.224	2
203.66.202.238	1336
203.66.204.20	2
203.66.204.24	2
203.66.205.28	432
203.66.205.52	12
203.66.205.92	16
203.66.206.113	2
203.66.206.6	328
203.69.239.181	2
209.88.29.41	109
209.88.88.221	168
